-2.6,"['2014 Ed Davis', '2014 Gerald Henderson', '2015 Kevin Martin', '2015 Justin Hamilton', '2016 Kendrick Perkins', '2017 Bismack Biyombo', '2017 Nik Stauskas', '2017 Rodney Stuckey', '2017 Quincy Acy', '2017 Georges Niang', '2017 Allen Crabbe', '2017 Brandon Bass', '2018 Jordan Mickey', '2018 Frank Ntilikina', '2018 Georgios Papagiannis']"
-2.5,"['2014 Robert Sacre', '2014 Andris Biedrins', '2014 Austin Rivers', '2014 Shane Larkin', '2015 Jordan Farmar', '2015 Tobias Harris', '2015 Aaron Gordon', '2015 Kyle Singler', '2016 Bruno Caboclo', '2016 Michael Beasley', '2017 Dennis Schroder', '2017 Joffrey Lauvergne', '2018 Solomon Hill', '2018 Henry Ellenson', '2018 Cheick Diallo', '2018 Nick Young', '2018 Tyrone Wallace']"
-2.4,"['2014 Jeff Green', '2014 Charlie Villanueva', '2014 Willie Green', '2015 Brandon Knight', '2015 Jordan Clarkson', '2015 Thomas Robinson', '2015 Nate Wolters', '2015 Ricky Ledo', '2015 Francisco Garcia', '2016 Trey Lyles', '2016 Reggie Bullock', '2016 Allen Crabbe', '2016 Jordan Clarkson', '2017 Cory Joseph', '2017 Kyle Singler', '2017 DeAndre Liggins', '2017 Stanley Johnson', '2017 Malachi Richardson', '2017 Bobby Portis', '2018 Chris McCullough', ""2018 D'Angelo Russell"", '2018 Marquis Teague']"
-2.3,"['2014 Jamaal Franklin', '2014 Jeremy Evans', '2014 Marcus Thornton', '2014 Omri Casspi', '2014 Carl Landry', '2014 Rudy Gobert', '2014 Khris Middleton', '2014 Austin Daye', '2015 Michael Carter-Williams', '2015 Shawne Williams', '2016 Quincy Acy', '2016 Lamar Patterson', '2016 Joffrey Lauvergne', '2016 Sergey Karasev', '2016 Ersan Ilyasova', '2016 Aaron Brooks', '2017 Miles Plumlee', '2017 Diamond Stone', '2017 Tyler Zeller', '2017 Thomas Robinson', '2017 Alex Len', '2017 Raymond Felton', '2017 Omri Casspi', '2017 Michael Beasley', '2017 Michael Gbinije', '2018 Alec Burks', '2018 Juan Hernangomez']"
-2.2,"['2014 Dorell Wright', '2014 Tony Mitchell', '2014 Jon Leuer', '2014 Quincy Acy', '2014 Cody Zeller', '2015 John Jenkins', '2015 Cameron Bairstow', '2015 Reggie Bullock', '2015 Shelvin Mack', '2015 Mike Scott', '2016 Kevon Looney', '2016 Darrun Hilliard', '2016 Kevin Seraphin', '2016 Chris McCullough', '2016 Bradley Beal', '2017 Stephen Zimmerman', '2017 Avery Bradley', '2017 James Young', '2017 James Jones', '2017 Derrick Rose', '2018 Markelle Fultz', '2018 Ramon Sessions', '2018 Bruno Caboclo', '2018 Doug McDermott', '2018 Markel Brown', '2018 Darrun Hilliard']"
-2.1,"['2014 Tristan Thompson', '2014 Francisco Garcia', '2014 Ramon Sessions', '2014 Carrick Felix', '2014 Victor Claver', '2014 James Anderson', '2014 Justin Hamilton', '2015 Michael Beasley', '2016 Jarell Martin', '2016 Damien Inglis', '2016 Branden Dawson', '2016 Josh Smith', '2016 R.J. Hunter', '2016 Luke Babbitt', '2016 Jerryd Bayless', '2016 Charlie Villanueva', '2017 Pat Connaughton', '2017 Denzel Valentine', '2017 Terrence Jones', '2017 Chinanu Onuaku', '2017 Alex Abrines', '2017 Dahntay Jones', '2017 Justin Hamilton', '2017 Demetrius Jackson', '2017 Sasha Vujacic', '2017 R.J. Hunter', '2017 Greivis Vasquez', '2018 Jonathan Isaac', '2018 Robin Lopez', '2018 Elfrid Payton', '2018 Caris LeVert', '2018 Justin Anderson', '2018 Kadeem Allen', '2018 Jae Crowder', ""2018 Johnny O'Bryant III"", '2018 James Young']"
-2.0,"['2014 Joel Freeland', '2014 Tobias Harris', '2014 Jonas Jerebko', '2014 Alexis Ajinca', '2014 Ricky Ledo', '2014 Royce White', '2015 Jordan Hamilton', '2015 Beno Udrih', '2015 Solomon Hill', '2015 Terrence Ross', '2015 Wilson Chandler', '2016 Ben McLemore', '2016 Raul Neto', '2016 Alec Burks', '2016 Brandon Knight', '2017 Skal Labissiere', '2017 Domantas Sabonis', '2017 Anthony Bennett', '2018 Damyean Dotson', '2018 Mario Hezonja', '2018 Chandler Parsons', '2018 Sterling Brown', '2018 Edmond Sumner', '2018 Tony Snell']"
-1.9,"['2014 Xavier Henry', '2014 Brandon Bass', '2014 Ray McCallum', '2014 Spencer Hawes', '2014 DeJuan Blair', '2014 Perry Jones', '2014 Tornike Shengelia', '2015 Russ Smith', '2015 Nikola Vucevic', '2015 Shabazz Muhammad', '2016 Kosta Koufos', '2016 Cleanthony Early', '2016 Kris Humphries', '2016 Jerami Grant', '2016 Dion Waiters', '2016 Ryan Kelly', '2016 Willie Cauley-Stein', '2016 Nikola Pekovic', '2017 Tyler Ennis', '2017 Henry Ellenson', '2017 Dario Saric', '2017 Kris Humphries', '2017 Austin Rivers', '2017 Glenn Robinson III', '2018 Marcus Morris', '2018 Marcus Paige', '2018 Mike Scott', '2018 Harrison Barnes']"
-1.8,"['2014 Miles Plumlee', '2014 Jarvis Varnado', '2014 Quincy Miller', '2015 Jared Cunningham', '2015 Dante Exum', '2015 Maurice Harkless', '2015 Omri Casspi', '2015 Jason Thompson', '2016 JaVale McGee', '2016 D.J. Augustin', '2016 Alex Len', '2016 Jordan Adams', '2016 Mitch McGary', '2016 Omer Asik', '2016 Terrence Ross', '2016 Cameron Payne', '2016 Richaun Holmes', '2017 Anthony Brown', '2017 Jared Sullinger', '2017 Julius Randle', '2017 Rajon Rondo', '2017 Damian Jones', ""2017 E'Twaun Moore"", '2017 Jarrett Jack', '2018 Greg Monroe', '2018 Dante Cunningham', '2018 Jordan Clarkson', '2018 Monte Morris', '2018 Quincy Acy', '2018 Daniel Hamilton', '2018 D.J. Wilson', '2018 Dennis Schroder', '2018 Omer Asik', '2018 Bogdan Bogdanovic', '2018 Shaun Livingston', '2018 Rashad Vaughn']"
-1.7,"['2014 Steve Blake', '2014 Kris Humphries', '2014 Damion James', '2014 Kendall Marshall', '2014 Darren Collison', '2015 Leandro Barbosa', '2015 Ryan Anderson', '2015 Miles Plumlee', '2015 Andrew Wiggins', '2015 Spencer Hawes', '2015 Julius Randle', '2016 John Henson', '2016 Will Barton', '2016 Chase Budinger', '2016 Gerald Green', '2016 Ramon Sessions', '2016 Raymond Felton', '2017 Michael Carter-Williams', ""2017 D'Angelo Russell"", '2017 Pierre Jackson', '2017 Jordan Crawford', '2017 Rakeem Christmas', '2018 Tyler Lydon', '2018 Andrew Harrison', '2018 Jeremy Evans', '2018 Marco Belinelli', '2018 Taurean Prince', '2018 Noah Vonleh', '2018 Jabari Bird', '2018 Sindarius Thornwell', '2018 Tony Allen', '2018 Terrence Ross']"
